Comment;Target;Label
N_Target sabaaaaar;['dayak162'];Not_Hate
N_Target sabaaaar;['kupanji'];Not_Hate
N_Target sabaaar;['sesamaulida'];Not_Hate
N_Target sabaaar Kok abng emosi;['medanimedani'];Not_Hate
N_Target sabaar bng;['hanafiamische'];Not_Hate
N_Target sabar bang;['dayak162'];Not_Hate
N_Target sabar bng Sabaar Ane kn cm bermaksd mengingatkan penderitaan abng;['ahmad0809_gw'];Not_Hate
N_Target sabar pak mending kita gaungkan;['rikoseptianton'];Not_Hate
N_Target sabar sabar;['noni9112'];Not_Hate
N_Target sabbar mas;['dilafeby'];Not_Hate
N_Target sadar gimana kan boneka;['ismawan_06'];Not_Hate
N_Target sadar mba sadar;['dianmaharani1991'];Not_Hate
N_Target sahabat yg baik bng Ketawa bareng nangis bareng bahagia bareng gila abng sendiri aja ane ngk ikut;['bamzwidodo'];Not_Hate
N_Target saham anjlok itu buktinya;['regarborneo'];Not_Hate
N_Target sakidd yg tidak berdarah mas;['alfi'];Not_Hate
N_Target saking khuzhuknya si habib dia berencana umroh tahun;['pangeranbelut'];Not_Hate
N_Target sakit brow;['tugiosblues869'];Not_Hate
N_Target sakit pasti disentil sampek ususnya;['ye_u_ye_u_en'];Not_Hate
N_Target sakitnya luar biasa;['nia'];Not_Hate
N_Target saksikan ilc full dengan menyimak dipahami dan dipikirkan Insyaa Allah jelas maksudnya;['mulatosigit7'];Not_Hate
N_Target salah guru;['rochayati4'];Not_Hate
N_Target salah mbak yg bener presiden rasa hambar;['pelangi_air_mata'];Not_Hate
N_Target salah satu cara mencari dukungan di internasional untul merdeka;['rafi___al___khadafi'];Not_Hate
N_Target salah satu dong bang;['heendiisurya'];Not_Hate
N_Target salahkan orangnya bukan ras nya;['idhaadha178'];Not_Hate
N_Target salam;['nurul'];Not_Hate
N_Target sama;['keadilanrakyatindonesia'];Not_Hate
N_Target sama Sist;['yunia_fatmawati'];Not_Hate
N_Target sama aku juga blepotan;['keadilanrakyatindonesia'];Not_Hate
N_Target sama kita mba toss waktu pa anies awal gabung kubu prabowo sempet dibecandain pak amien waktu pengajian di masjid al azhar itu ada junior saya di ugm rantang runtung sama jkw alhamdulillah sekarang sudah sadar jadi pak amien juga sempet heran dgn pa anies ko bisa nya ada di kubu sana hahaa;['kunadnanm659'];Not_Hate
N_Target sama kok we ngga tau yah;['adit'];Not_Hate
N_Target sama sama bos;['agustinkharis'];Not_Hate
N_Target sama wkwkk;['5171jasmine'];Not_Hate
N_Target sambas gmn;['amalia_alro'];Not_Hate
N_Target sami Allohu limankhamidah;['ijahmuis'];Not_Hate
N_Target sampe;['ririen_urra_ayhu'];Not_Hate
N_Target sangat memalukan kalah ya kalah aja nyungsep ya nyungsep aja;['pb_1932'];Not_Hate
N_Target santuy aja Mbak Kita tidak tau permainan politik seorang Jendral sperti Prabowo Dan satu hal yg harus kita yakini bahwa tidak ada seorang prajuritpun yang berjiwa penghianat Dan itu termasuk kepada panutan kita Prabowo Subianto;['linnydharma'];Not_Hate
N_Target sapa siiihhhh yg dari soloooooo;['premantobat073'];Not_Hate
N_Target sapa yg goblok loh atw gue;['shaoguskar'];Not_Hate
N_Target sapa yg takut cuma perusuh doang ya pantes bisanya cuma demo doang;['bubles_beauty'];Not_Hate
N_Target saran saya jangan anti asibg hp ente juga buatan asing banyak media indo tuh sdh siarkan pakung tidak sdh ada oengakuan kalau semua ada provikasinya pendemo juva mengakui kalau mereka teetipu oleh aktor lapangannya damai itu enak jabgan dijadikan ALAT KETIDAK MAMOUAN MENGHADAPI KEKALAHAN;['tatang'];Not_Hate
N_Target satir satir;['fityalifia'];Not_Hate
N_Target satpamnya takut di marah atasanya om;['ded_enyoy'];Not_Hate
N_Target satpamnya terpesona sm bpk anying dgn kata nya mknya satpamnya diam bae;['akalmu_kudu_sehat'];Not_Hate
N_Target satu orang cina perwakilan cina pada umumnya;['yusufswn'];Not_Hate
N_Target satu pulau sumatera kita merdeka;['eddy_mentor_paytren'];Not_Hate
N_Target saya biasa ubanan di cabutin putri saya yg pertama;['ririen_urra_ayhu'];Not_Hate
N_Target saya ga merasa punya Presiden Min Saya hanya merasa sangat punya Gubernur hebat;['pelangi_air_mata'];Not_Hate
N_Target saya hutang negara indonesia tanggung jawab berdua sama belio president IR H JOKOWIDODO siap berapa trilyun pun belio yg carikan saya tanggung jawab mau Arab swiss;['ririen_urra_ayhu'];Not_Hate
N_Target saya jga dari Aceh tapi tdk merasakan;['zumuctar0879'];Not_Hate
N_Target saya juga minta data hutang pemerintah yg sekitar triliun;['alia_galb'];Not_Hate
N_Target saya mah pecinta wanita bukan;['rahayu_maurer16'];Not_Hate
N_Target saya mau nya Mobil Esemka janji kan mau praduksi mobil Esemka;['agusduriat48588'];Not_Hate
N_Target saya mendukung Ahok jdi ketua rt;['moestofa2'];Not_Hate
N_Target saya pesimis;['syidmen_'];Not_Hate
N_Target saya sdh punya anak mbak;['pelangi_air_mata'];Not_Hate
N_Target saya setuju banget kok banyak pihak luar negeri yang merasa pak anies malah yang presiden nya saya setujuuuu banget dongg mereka lebih berintelektual yang tinggi tidak mementingkan kepentingan pribadi dan partainya saja mereka LEBIH BERWIBAWA dibandingkan yang kamu pilih atau yang menurut kamu bagus mereka jugaa sudah banyak bukti apalagi semenjak pa anies yang jadi gubernur Jakarta di buahi puluhan piagam untuk Jakarta gubernur yang kemaren sampe marah mana noh ga ada pencapaian piagam untuk Jakarta satu pun;['abrahamduta86gma'];Not_Hate
N_Target saya setujuuuu karena beliau cerdasssss kalo sambutan di luar negri dg bahasa inggris pasti jago kerennnnnnn;['abrahamduta86gma'];Not_Hate
N_Target saya tidak sekolam ya Saya tetep setia;['nura_moms'];Not_Hate
N_Target saya yakin bisa;['suryawatiaji'];Not_Hate
N_Target sdg berkembangbiakmusim hujan soalny;['fera_tommy'];Not_Hate
N_Target sdh ada beritanya bng Listrik dikelola china;['m'];Not_Hate
N_Target sdh bebas masbro;['dedegpidekso12'];Not_Hate
N_Target sdh bebas tapi tetap saja jadi sandal jepit dan keset kaki sementara elite makan enak dan bagi kekuasaan;['sriumamah'];Not_Hate
N_Target sdh bun Presiden rumah tangga Hhhaaa;['uma_mahdumah'];Not_Hate
N_Target sdh jelas;['al_jasum_muhibbin'];Not_Hate
N_Target sdh terhapus;['bundarahmah_nany'];Not_Hate
N_Target sdhlah bng Bakal binggung kl melihat cr berfikir mereka;['opik_cahya'];Not_Hate
N_Target sebenarnya bukan Agamanya yg salah namun pemeluknya itu yg gak terlalu memahami sama agamanya sendiri Andaikan dia paham sama agamanya pasti ia akan menjadi orang super baik;['paulusnaeksitompul'];Not_Hate
N_Target sebenarnya nggak pingin ngetawain tp kok ya kebangetan alay nya Astaghfirulahaladzim;['premantobat073'];Not_Hate
N_Target sebenarnya sayang bgt ya aku gk bs dTang;['kojiro'];Not_Hate
N_Target sebenarnya yg ciptain cina ini siapa sih kok bikin umat ga tenang aja sih;['nabrisputra'];Not_Hate
N_Target sebenernya ngk percaya kok Cm lg dimanipulasi;['renee_aml'];Not_Hate
N_Target sebutkn yg hoax yg mn bu Nanti sy kasih data;['dianmaharani1991'];Not_Hate
N_Target secara konstitusi jokowi pegawai outsourcing taunan yg kita gaji kok ngapain malu sama pegawai sendiri;['bubles_beauty'];Not_Hate
N_Target sedih gue baca nya wkwkwkwk tolol loe ih benci siapa loe Pemerintah Jokowi Siapa Gak ada otak lw gak tau diri;['engdwi'];Not_Hate
N_Target sedih juga;['epindgolit'];Not_Hate
N_Target seharusnya anda bisa mikir;['fahrul'];Not_Hate
N_Target seharusnya anda mikir karena Anda sudah dewasa;['fajrin_azmar'];Not_Hate
N_Target seharusnya gimana kalau jawab takbir;['rahmaddani89'];Not_Hate
N_Target sejak jd gubernur dki jg sy mh udh kesel;['alan_asikgaasik'];Not_Hate
N_Target sekali curang tetap curang;['evisofiyah_12'];Not_Hate
N_Target sekali kali;['pejuang1745'];Not_Hate
N_Target sekarang km tinggal memikirkan kemajuan negara demi anak cucu tdk berlarut dgn kegiatan yg tak berguna;['asep_syaepullah99'];Not_Hate
N_Target sekarang terbaru sepeda an sama istrinya Duh ya Alloh enak amat hidup jae rakyat kelimpungan dia hepy hepy ga perduli;['savana_7875'];Not_Hate
N_Target selama ini Kan gitu bro beda pandangan politik ditangkap beda banyak yg Hina Pak Prabowo as Capres B aja Hina Pak jokowi langsung ditangkap;['kurnia_udi'];Not_Hate
N_Target selamat menikmati kecurangan;['2019gantiwakilpresiden_'];Not_Hate
N_Target selamat menikmati kekalahan dan ketololan yg hqq Wkwkwkwkwkwkwkwkwk N_Target;['farhan', '2019gantiTuhan'];Not_Hate
N_Target semangat;['lilisulaeman'];Not_Hate
N_Target semangat pak otto saya percaya dengan dedikasi anda dalam dunia hukum;['ottohasibuan'];Not_Hate
N_Target semangat sanyangku;['riskaseptiamutiara'];Not_Hate
N_Target semangat yah cm sampe ko ntar q bantuin ko;['nabilaregia'];Not_Hate
N_Target semoga;['nauraghozi'];Not_Hate
N_Target semoga ada cara menjatuhkn sesuai konstitusi;['sesamaulida'];Not_Hate
N_Target semoga allah bukakan hati nurani dan balikan pemikiran nya;['niamaulana_22'];Not_Hate
N_Target semoga cepat sembuh tuuh so Abu;['najla_azzahra17feb'];Not_Hate
N_Target semoga dimudahkan aamiin;['premantobat073'];Not_Hate
N_Target semoga jawa berikutnya;['sukri'];Not_Hate
N_Target semoga jurinya diisi orang jujur yg takut sama Allah SWT;['diiiginting'];Not_Hate
N_Target semoga mereka hengkang;['pedrinansatriani'];Not_Hate
N_Target semoga semakin nyungsep;['adirizalf_abf'];Not_Hate
N_Target semoga sj gak bener say mo di bikin apa negri ini;['halimatussadiyah_77'];Not_Hate
N_Target semoga tidak darah tinggi dan semoga nyungsep;['adinda_cyng'];Not_Hate
N_Target sempak Ah k;['toro'];Not_Hate
N_Target semua subsidi dicabut ya min uang subsidi nya dikemanain itu kepo mode on;['premantobat073'];Not_Hate
N_Target sengaja;['rin2988'];Not_Hate
