Username;Comment;Target;Label
sungkarmahdi;Itu debog pisang buat apaan;['None'];
segawon182lanang;Itu di negri tai lan;['None'];
randz2251;Itu gimana yah perasaannya si jae pas orang bilang Prabowo;['None'];
oscardona99;Itu gubernur binatang mana kok nkri bukan harga mati laporin banser min;['None'];
tbsasongko49;Itu kan cuma plesetan aja;['None'];
m.ananda_w;Itu kan org yg di ketawain org jepang karena pidato cuma menit;['None'];
cepdud;Itu kan waktu kampanye pilpres kemarin bukan hari ini Jsngan buat berita hoaks ah;['None'];
iksanzulfannur;Itu kayangnya orang cina dah kalau dia ke aceh udah gua gorok itu lehernya;['None'];
ellyhartati11;Itu kewajibsn gak usah di share;['None'];
muhammadrivaldii_;Itu kg blg menang tu trima ksih kpu dg mk N_Target N_Target;['fadlikdr', 'rizkynurdin9'];
datan_nasution;Itu kl ketabrak mobil trs khilangan nyawae pie yo pak pol mboh la eh iki mesti di tailen iki sah wes ampuuun ampuun;['None'];
octaxu;Itu knp hastagnya jokowimundurlah;['None'];
sayyid_asseqqaf135;Itu kok di hukum ada penciblosan masal Ada buktinya gk Kalo ada berupa apa Tapi kok di MK di tolak permohonan dari BPN;['None'];
ficogautama;Itu lah Akibat Hasil dari Curang;['None'];
mitaaur_;Itu lah prestasinya Pencitraan terus;['None'];
yudhicom;Itu mah bukan ceramah tp provokasi;['None'];
maunksingaperbangsa;Itu mah nak tolol;['None'];
nedij_sukses_maratan_langhit;Itu maling jaman NOW;['None'];
sukendar8397gmailcom;Itu mh yg dulu pas muktamar k banjar;['None'];
ancabrooks;Itu ngpain jdi pajangan pengamanan gedung buat bantuin emakny proses kek;['None'];
tinul_401;Itu paling jenis pak pol hellokitty kalo meninggal kerandanya gambar hellokitty;['None'];
nyimasweninggalih;Itu pelajaran dari pak pol sendiri ye senjata makan tuan deng;['None'];
alfinamahadewi11;Itu postingan nyinyir mulu akun china kata nya anti aseng akun nama cina kok masih dipercaya nebarin hoax disosial media jadi jangan nyinyir aja min jangan terus mengadu domba masyarakat dengan pemerintah saat ini stop isu dan provokasi yang lebih banyak mudharatnya dari pada manfaatnya;['None'];
ahmad0809_gw;Itu president nya siapa Min;['None'];
agusjong7;Itu satpam pada diem bae Gregetan liatnya;['None'];
adisto5ive;Itu satpam ya kirain maskot;['None'];
mata_tampan;Itu si bangsat rumahnya dimana Namanya siapa Berani banget memperolok ISLAM belum liat orang lombok makan manusia kah;['None'];
antanaqueker;Itu sya setuju klo BpjS gk stuju;['None'];
_4n4st_3n664l_;Itu video kpn min Bukannya udh lama;['None'];
fajri_aristiawan;Itu yang seharusnya dilakukan Bravo Prabowo;['None'];
salisilas17;Itu yg diwawancarai presiden indonesia yah atau gubernur Indonesia;['None'];
ebbhy2;Itu yg laki disitu pada gak punya telor;['None'];
machmut75;Itu yg make baju kotak kotak mulutnya bau tai;['None'];
lubukrukam;Itu yg ngomong sembarangan mbok pulang saja ketempat asal;['None'];
karunkbasah;Itu yg nulis adiknya jokowi;['None'];
gazalimuhammad_maskur;Itulah pemimpin negeri ini sekarang;['None'];
_momkittys;Itulah pemimpin sejati barakallah pak anis;['None'];
vavabronson;Itulah rezim saat ini Tunggu waktunya rakyat akan kompak menurun kannya;['None'];
matahariinsani;Itulah sudah numpang gk tahu diri lagi sonoo ceburin aja kekolam buthek;['None'];
yoginovario03;Iwan fals Ujung aspal pondok gede;['None'];
fahrizal_brx_419;Iy;['None'];
montanadarmawan;Iya juga ya bahaya la ada orang bisa nerobos Paspampres;['None'];
hswssammy;Iya mending wanita berhijab tp bisa di ewe;['None'];
alvihr_;Iya min banyak yg bilang saldo tabungann di rekeningnya jadi rupiah;['None'];
popong_shucauw;Iya sih masalahnya apa;['None'];
emmaciated99;Iya yah;['None'];
rezhablues;Iyalah jangan bangun bangun toL emang rakyat kecil bisa nikmati jalan tol;['None'];
la_tuantik;Iyesssss;['None'];
_student_129;Iyh ajg ngen ot anj knp;['None'];
rohanidra;Izin repost y;['None'];
rismafitri22;Izin save;['None'];
lindacalista_ngguro;Izin share;['None'];
muslimah_hijrah002;Izin share ya min N_Target;['pejuangislam466'];
riniwidhikartika;J a u h;['None'];
ka_sur007_shop;JANGAN SALAHKAN UPAH SALAHKAN YG MENGAMBIL KEBIJAKAN BRO;['None'];
rikirohim;JELAS KERAS LANTANG NGGA ADA PATAH PATAH mantap pak;['None'];
nitizen.barbar;JOKONTOL MANA BISA;['None'];
safitri_afiffah;JONGOSNYA ISIS ITU;['None'];
uj_mv_25;JUDUL LAGUNYA SI KAMPENG DARI SOLO;['None'];
heendiisurya;Jabar bentar lg Bangkrut;['None'];
aaktanjung;Jadi Goodbener saja bikin bangga apalagi kl jadi presiden Sehat selalu bg N_Target;['aniesbaswedan'];
shantymawardi97;Jadi INI rencana dibalik semua kcurangan pemilu kmarin;['None'];
yuniartis5421;Jadi Rindu;['None'];
joko_suharyono83;Jadi gemis pengen bikin kecap dihidung a;['None'];
hanintyoagung;Jadi guru bhs Inggris top markotop;['None'];
drasti_dj;Jadi ingat Agil sirot dan banser;['None'];
paripurnanusantara;Jadi ingat Ridwan Kamil waktu itu;['None'];
afrilia_safitri;Jadi ingat perkataan pak Jusuf kalla waktu sebelum dicalonkan jadi Wakil Presiden;['None'];
yaprizal_abu_ibrahim;Jadi kalau yg tepuk tangan dan bergemuruh itu pikirannya seperti apa ya;['None'];
json_maxell;Jadi kapan rakyat bertindak Teriak sudah tidak didengar soale;['None'];
agus_urake;Jadi keingat lirik Iwan Fals manusia Dewa min;['None'];
slynch331;Jadi makin enek aja gw ama cina cina asing ini;['None'];
gores_rese;Jadi malu pada diri sendiri;['None'];
jo_real2;Jadi menteri dipecat jadi gubernur gak becus nipu masyarakat ngabisin anggaran dan bikin proyek mubazir hanya manusia tolol bin bahlul yang akan milih;['None'];
wawanlatif;Jadi presiden hasil dari kecurangan ya kaya gini ngomongnya belepotan mulu;['None'];
abdulkholiknurr;Jadi presiden kita siapaaaa begoo Kimi hime;['None'];
gentutharyono;Jadi punya harapan lagi;['None'];
yusnaini_71;Jadi sedih min;['None'];
iday4189;Jae Jae Jiancuukkkk;['None'];
muhammadfaisaltaufik1101;Jae mah urat malu nya udah putus;['None'];
robigilbert;Jae said nat mai bizniz;['None'];
agchz;Jaee ohh jaeee;['None'];
wchmadsyam;Jagan pada GR dulu togog Pak Anis itu orang yg konsisten dalm ucapannya tidak akan pernah menghianati Pak Prabowo Seperti ketiga orang yg telah jadi penhianat Maka jangan pada meangandai andai pertemuan Bpk Anis Bsn dan Bpk Surya paluh Biar para togog bertengkar sendiri kita tinggal bakar tikar biar tambah rame;['None'];
dwi_suci_sulistianing_anugrah;Jait mulutnya;['None'];
irwosasongko;Jalan buat jadi terkenal ya salah satu nya bgini;['None'];
