Username;Comment;Target;Label
islam_cahayahidupku;N_Target cctv;['sujatwika'];
sukochi_24;N_Target cebong;['dianmaharani1991'];
omojak;N_Target cebong gilaa;['wawanloblobly'];
akkaqinna65;N_Target cebong nyasarrr;['bunda'];
ers.art95;N_Target cebong panik haha;['alfinamahadewi11'];
mulyantisrieka;N_Target cebong udah menang masih sirik julid aja ya;['sugiksyaraf'];
luff_vanderwich;N_Target cebong ya;['djatiningrumwidia'];
nisrien__223;N_Target cebong yg nyamar jadi kampret;['dedegpidekso12'];
bunda.dara.dzaky;N_Target cek di ig sayaphati bu pak;['agustinkharis'];
syimabeautyskincare_indo;N_Target cek dm kk;['ccsomba'];
simon.jr82;N_Target cemberut gtu di bilang bahagia mak;['__akhwat'];
claudiafadillah7407;N_Target cengeng amat kayak anak kecil;['tetyheriyaningsih'];
gentutharyono;N_Target cerdas;['kabayanvan'];
wisnu_wu;N_Target china banyk amerika ada Susah memang;['nuara_shop'];
ndhyjr;N_Target ciee buzzer mines;['alfinamahadewi11'];
irawan1680;N_Target ciee selamat ya telah di menangkan ciieee yg butuh legitimasi cieee yg tidak di akuin oleh rakyat cieee yg bangga menang curang wkwkwk kok memalukan yaa;['indonesia1700945'];
engdwi;N_Target cieeeee cebong baper kenapa masih aja Lom pede dah ketemu Ama pemilik yg kalian curi Gaungkan aja itu Taggar kalian cebong ne ane bantu ya bong;['indonesia1700945'];
rahayu_maurer16;N_Target cihuuuyy goyang nasi padang pke samba randang sm org minang;['ajiiieeeee'];
idhaadha178;N_Target cina di bunuh juga ga masalah;['yusufswn'];
dhaerick;N_Target cina miskin kyak x tu bro;['eko_puji_82'];
paull_sp;N_Target cina sipit emang kontol bangsat jancok;['gilang_marwanta'];
rudyydermawan;N_Target ciyeee yg bangga dgn barang curian;['indonesia1700945'];
mukhtar_jaya;N_Target cmn brani bubarin pengajian orasi pling nkri dan pling pancasila ada kejadian bgni lngsung pura mati suri;['banser_nasional'];
keadilanrakyatindonesia;N_Target coba di cek;['mohyamin97'];
ricoahmedmarco;N_Target coba direnungkan lebih mendalam pak Kebutuhan pindah bukan utk skrng pak byk hal lain utk terus dikembangkan dan ditingkatkan loh;['jokowi'];
saidfathan;N_Target coba kau tanya pemerintah Surabaya dengan presiden mu itu;['matahatirakyat'];
nobelsekar;N_Target coba ngaca mbaak;['dianmaharani1991'];
nenden_priyani;N_Target coba terangkan hoaxnya di mana atau kemenangan presiden nya yg hoax coba dong di jelasin;['wijaya'];
iriyan22;N_Target cocoknya manusia ini di Iket di pohon di kasi makan taik babi karena kelakuanya kayak babi;['rillozz'];
mhdzulfanpandjaitan;N_Target cocot mu kelebihan;['gusmifta'];
ndhyjr;N_Target coment pake akun asli dong panas bang ya Hode sih jangan ngotorin make akun bokep;['dianmaharani1991'];
pelangi_air_mata;N_Target comment terbaik ini;['krisdiantoagus'];
fahruleffendy_;N_Target crot didalam lagi;['hswssammy'];
adhitya2107;N_Target cuci kaki bobo siang ya dek Bocah;['mjamallud1n'];
yenitetriyana_;N_Target cuekin aja mbak gk penting org ginian hehe;['keva_dilla'];
temanbaiik;N_Target cuma di KTP doang ucup;['mjamallud1n'];
ong_geng;N_Target cuma mau ngigatin HATI HATI ingat kejadian silam banyk kepala bergelantungan akibat perang suku kalimantan memang tak ada kaitanya sekarang tapi ini gara awal mula mulut kotor seperti anda ini Yg bisa memicu perang Berfikir lah sebelum apa yg anda ucapkan itu keluar;['puji_sutomoogua'];
agusduriat48588;N_Target cuman buat kendaran pribadi president IR H JOKOWIDODO yang anti peluru rudal basoka anti snayper kaca tapi system robotics di paspor tv layar sentuh tombol senjata rahasia production emang BUMN negara ada di indonesia itu punya japanese MR SHINZO ABE ITU YG ADA DI INDONESIA;['alsandrayunus'];
naj20615;N_Target cuman d rezim ini manusia sinting pd bertingkah;['erwin_sapoetra17'];
irawandv;N_Target curang apanya sih njing Orang di MK ngga ke bukti;['watogiri'];
dorayaki_transforming;N_Target curiga mo poligami gak dpt ijin ya Bang;['simon'];
waun_insek;N_Target dah Sy ikhlasin;['siharritonga'];
sadhamchocs_;N_Target dah biasa;['asep_syaepullah99'];
eko_agustin12;N_Target dah by balesn koment lu ap lg di akun kampret gblk percma buang waktu;['agung_f1s10'];
engdwi;N_Target dak ada yg salah soal pemindahan ibukota pahami baik mbak apa yg disampaikan sherly dia lebih ke pada janji yg gagal diwujudkan Jokowi soal menata segala keruwetan Jakarta dia jg dak mengatakan salah benar soal pemindahan ibu kota kok;['eva'];
mazdaadhitya;N_Target damput;['rickiyusuff'];
wadinugroho025;N_Target dan Ahok Selain yusril AHY sama Ahok;['wadinugroho025'];
alia_galb;N_Target dan herannya waktu itu prabowo diolok soal bumn yg hutangnya mengerikan lalu dijawab jokowi kalo bicara itu harus ada datanya hahahahh dan terbyata terbukti dan manusia pendukungnya masiiiiiiighhg nganggap jokowi manusia tanpa bohong;['emangchincai'];
emangchincai;N_Target dan juga di papua tdk ada surt suara krna dicobls oleh ptgas kpps setempat;['alia_galb'];
andi.suwandi.3979;N_Target dan kekuasaan itu didunia tidak dibawa mati hanya amal dan ibadah yg dibawa kain kafan aja cuman sampai didalam kubur;['lilalyla32'];
alia_galb;N_Target dan yg punya komen gk ngakui kalo junjungannya main curang brutal hahah;['emangchincai'];
noni9112;N_Target dari dlm yg paling dlm tuh min komenku;['pelangi_air_mata'];
puji_sutomoo;N_Target dari pd caption yg di upload ini apa untungnya makin keruh ngerti ga nyatanya FPI ada waktu kejadian disurabaya;['ong_geng'];
puji_sutomoo;N_Target dari pd mosting profokatif;['azizahsitirahmatul'];
riyanto_1507;N_Target daripaada buat pindah ibukota Mending uangnya buat bayar utang aja yang semakin menumpuk Padahal subsidi pada dicabut;['eva'];
aizets;N_Target dasar china;['jere'];
bamzwidodo;N_Target dasar mimin;['pelangi_air_mata'];
premantobat073;N_Target datang ya wkwk;['ema'];
sayadi_umang;N_Target demi idiologi bangsa dia harus turun;['dhani7647'];
dinar_dirham_jambi;N_Target dengarkan pake kuping;['hendri'];
ranovanfath;N_Target derajat di dalam pemerintah bukan derajat sebagai manusia koreksi kalo saia salah;['frans_leonal'];
farrel.rishma;N_Target di lantik jadi satpol pp;['wandiiswan332'];
aku_pengikutmu1;N_Target di medan pak;['lucekyluke'];
rezasgndha;N_Target di spokopok ni sak;['curuglagi'];
jamurtlethongtlethong;N_Target di untal kodok;['rioharyanto94'];
pedrinansatriani;N_Target dia dibelain presiden bro kita gebukin ntar kita yg dipenjara bkan si asing;['dhaerick'];
pelangi_air_mata;N_Target dia kak;['sri'];
pelangi_air_mata;N_Target dia lupa soal kpu yg mati kelelahan;['ben_indra26'];
pelangi_air_mata;N_Target dia takada otaknya;['thekophafizd'];
_assistant.marbot_;N_Target dibawa mau ditawarin di online min;['premantobat073'];
premantobat073;N_Target dicoba ya;['heendiisurya'];
lunckylee;N_Target didi kempot kyknya;['t4ntri_27'];
fris.nd;N_Target dihhhhh;['nonongxx'];
ikhwalmaulana57;N_Target dikit emng tp penghargaan nya bnyak dr pada yg ono udh gk ada prestasi malah jd yg terbaik d asia;['riyannofardo'];
cardijamharis;N_Target dikolam bang cebonk deman yg beginian bang dia warga kolam yg beginian yg dijempolkn bang dia bangga bang cebong bang;['aurumarafah'];
bangke.togog;N_Target dimata anda siapa yg pas;['abrahamduta86gma'];
aku_pengikutmu1;N_Target dimedan kampungnya tetangga saya;['fauzan_a18'];
sinaga.enny;N_Target dimk kalah dihati kami dia pemengnya;['uncledonnn'];
pelangi_air_mata;N_Target dipindah krn di DKI kalah bersaing ma anies Yg satu gubenur rasa presiden yg satu presiden rasa lurah;['haysia0208'];
izradrummer;N_Target disuruh cuti aja gamau apalagi turun;['ardy_prabowo88'];
lenny_maelani82;N_Target ditutupin semua;['tia_ristawaty'];
nama1598;N_Target diundang GK salah cuk;['kopralmasta'];
pajatadi_ii;N_Target dlm versi lain sebenarnya misi mereka itu sukses besar mbak karna menurut sebagian pendapat dan penelitan bahwa mereka membawa kepentingan elit global yg sebenarnya klo d urut sejarahya mereka itu anak keturunan raja namrud sejak zaman nabi Ibrahim AS sampai sekarang hal seperti ini udah ada dan bisa ditelusuri dan diteliti jejaknya masih menurut versi ini bahwa misi mereka sebenarnya adalah merebut kembali kekuasaan di babilonia tanah kelahiran dan tanah kekuasaan leluhur mereka tentunya sambil memperkuat kekuasaan mereka atas ekonomi dunia dunia dengan kedok membasmi teroris dg seolah mencari minyak;['__akhwat'];
lunckylee;N_Target dlu gue suka orng ini tp skrng muak;['t4ntri_27'];
ummusaska_collection;N_Target doa kula anak dados penolong agama Allah Kula mboten rela agama kula diolok kalih agama liyo melih ayat Allah demi Allah kula mboten relo nek menawi sak niki kula getah mati nek melo agama Allah kulo iklas Nyuwun sewu gus;['gusmiftah'];
premantobat073;N_Target doain ya;['premantobat073'];
erickginanjar;N_Target doakan yg terbaik untuk negeri;['realovelis'];
dwisusantililis;N_Target dr dl banyak bgt yg bilang kl beliau keturunan nabi tp blm pernah sy baca satu artikelpun yg membahas tentang nasab beliau sampai kpd nabi Muhammad SAW bahkan pengacara beliau yg pertama bilang k publik bahwa HRS cucu nabi jg gak bisa menjelaskan trs media yg pertama memberitakan ttg hal itu jg telah mengklarifikasi dan menyatakan bahwa itu tdk benar lg yg bikin sy bingung kl benar HRS cucu nabi knp dia di cekal d Arab di haruskan byr denda overstay;['bib'];
pelangi_air_mata;N_Target dr rumput yg bergoyang;['rikoseptianton'];
robiputra8;N_Target dri mna lo tau dia islam tolol klo dia islam kenapa buat partai komunis indonesia bodoh boleh goblok jgn otak di pakai;['mjamallud1n'];
premantobat073;N_Target dua duanya ya bang wkwk;['cacingbewok'];
watogiri;N_Target duh bngga bgt y menang curang juga;['hasyimhasl'];
santipanon_kurma;N_Target duluu dulu bgt sekitar tahun an ada wacana itu Agus mah kan dijagoinnya pas pilgub kemaren;['jailanihasyim'];
mariamaryam350;N_Target dunia dah kebalik ya Pemilik sah takut sama maling maling bisa tuduh balik dgn pencemaran nama baik persekusi dan pasal berlapis lainnya;['fir0701'];
pelangi_air_mata;N_Target duuh kak Ngakak ane bc coment kk;['rndsfiafd1512'];
bolocastelo34;N_Target e bocah;['dedegpidekso12'];
rahayu_maurer16;N_Target eee haa ini boleh kita mah cuma numpang;['andre_pradi02'];
rahayu_maurer16;N_Target eek lu;['ugisugi1212'];
pelangi_air_mata;N_Target efek media mereka kuasai;['dimitria1130'];
dicky_suyitno;N_Target efeknya koalisi sebelah kocar kacir sadar ga sadar bapak prabowo sudah ngacak ngacak koalisi sebelah kita lihat saja hasilnya;['dedegpidekso12'];
pelangi_air_mata;N_Target eh Jgn jujur bngt bng;['mohana_clearesta'];
devirahardjo733;N_Target eh ini bocah kenapa baca dulu komentar gw;['bolocastelo34'];
bagusar7245;N_Target eh si ratu nyinyir keluar lagi toh sakit hati ya Gara Gara Junjungan nya rekonsiliasi dengan Pak jokowi;['maheswari1680'];
pisces__12__;N_Target elo cebong ga usah klojatan disini lah bisa modiar loch;['farrel'];
farrel.rishma;N_Target elu kepoin gw ya bro wkwkwk susah ngomong sama cebong otaknya sempit;['alle_man87'];
indah_trijoko_m;N_Target emaang merinding bangeet kita haus mempunyai seorang pemimpin seperti bang Anies wibawa dan amanah;['koswarayusup'];
rizkyakbar6403;N_Target emang ada hakim yg masih mulia ya Mgkn mulia dimata rezim cebong kali ya;['pelautmilenial'];
dgaleries;N_Target emang aing teu beuki jokowi mikir atuh;['sind1putr1'];
dniaza79;N_Target emang cebong punya rasa trauma;['arifsyaifulbakrie'];
kolam_cebong;N_Target emang dongo si cebong mah;['abang_phie'];
enthung_tenan;N_Target emang gak menang tp dipaksakan menang ya bgtu itu Gak ada legitimasi dr rakyat;['okzakki02'];
adly_frz;N_Target emang iye bro Jkw tuh PLECIDEN tanpa RAKYAT Ada sih tp RAKYAT kolam;['pendik_rezzpex'];
andhy_dika;N_Target emang kenapa;['bunda'];
keva_dilla;N_Target emang pak anis salah apa sih sm km kok kayaknya km brnci bgt;['hira'];
nadiyyans;N_Target emang pas masa ahok jarot sama jokowi ahok ada kerjanya Ga aja mass rakyat Jakarta sengsara pas jaman itu maraknya sekali pengangguran sekarang pengangguran semakin menipis gara adanya oke oce yang nyata di Jakarta kalo kamu bukan orang Jakarta jangan pernah ngeklaim kerjanya pak anies dan jangan sok tau mas;['abrahamduta86gma'];
dedy_alam_p;N_Target emang punya malu;['faridasupriatin'];
tatang.mardiana;N_Target emang sdh berhenti demonya perasaan belum kondusif emang di tv ga di tayangin di blokir semua kecuali media asing;['wawanloblobly'];
debbbysetiawan81;N_Target emank sekarang jkt hancur ya mas saya dtng ke jkt beberapa minggu lalu tambah keren kok saya orang luar jkt banggah jkt tambah keren dlu saya tnggl di sunter KODAMAR thn tp ngk sbagus skrng;['elia_setiadi'];
nor_khadijah77;N_Target emg udah diresmikan stop perizinannya Ngmg aja takut ma fpi;['da'];
rudin5452;N_Target emng atmin nya slh apa kok di tangkap;['rizki_harun'];
pelangi_air_mata;N_Target emng palah tabeh bang;['jabidi'];
pelangi_air_mata;N_Target emng punya adik;['karunkbasah'];
alia_galb;N_Target enak impor lah kan kalo impor kata pro rizal ramli ada fee nya hahaha;['emangchincai'];
pr.incess8220;N_Target enang si mbah bisa jawab;['ahmad0809_gw'];
dwii_nj;N_Target enanknya di apain nih ras tai anjing bgni;['sahabbath_otan'];
ummu_ahmad_yusuf_harun_arasyid;N_Target entahlah yg pasti mereka empati nya ga tau kemana;['susvha'];
p.ekoyudi;N_Target ente tuh yg kemakan hoax sampai ngak tau mana yg salah mana yg bener insaf jd kampret ntar hidup ente nyaman tong;['reyhan_fbr'];
fahrull_bondi10;N_Target expor kali mas;['rendy'];
anduanggoro;N_Target fahri hamzah bukan ulama;['hendrajay8881'];
idlalhafshah04;N_Target faktanya bal abal Pemimpin itu harus menjaga kesejahteraaan rakyat Ini malah merampas harta rakyat dengan paksa KERJA KERJA KERJA;['haysia81'];
sschuby_;N_Target firaun dan nabi muhamad sama terkenal berpengaruh pembenci nya pun banyak Di alquran pun banyak dicerotakan keduannya Bedanya firaun pembencinya orang sholeh sedangkan nabi muhamad pembencinya orang kafir dan munafik nabi muhamad dimuliakan allah dilanggit dan di bumi Firaun dihinakan allah di langit dan dibumi Jangan lupa bedakan pula menang terhormat dan dicintai rakyatnya dengan memaksa menang dan penuh hujatan;['matoa_papeda'];
nst.al.sandi_irsan;N_Target follow back;['___'];
ngakak_tuman;N_Target follow baru sy jawab;['monsterday'];
doohanmayuga;N_Target fotonya cantik;['puteri_hijau__'];
hyorimory;N_Target g malu mbae post Anya provokasi semuaacebong mah gtu suka jilat ludah sndiri;['dianmaharani1991'];
tia_ristawaty;N_Target ga ada di berita manapun;['lenny_maelani82'];
jailanihasyim;N_Target ga ada itu demokrat itu kndraan sby ahy;['santipanon_kurma'];
luff_vanderwich;N_Target ga ada yg ngelabui pak bos;['yosiasimanungkalit'];
easyjazzy;N_Target ga ads urusannya sama pilpres like or dislike aja Justru situ yg msh ga bs move on krn segala sesuatu selalu dikaitkan pilpres;['toto'];
_assistant.marbot_;N_Target ga ah min kena tabok cang beben nih secara pas guling an ane salah masuk kamar bukan ke mpok romlah tapi ke kamar bininya cang beben nyang lagi andukan doang;['premantobat073'];
mochammad.wahyu.rizaldy;N_Target ga bakalan beredar lha wong ga bakal dibuat kyknya;['ummiyasmi'];
rina.athaya271209;N_Target ga dua nya hihihi;['pelangi_air_mata'];
opik_cahya;N_Target ga isu mba ini nyata ko masyarakat punya pandangan masing dan banyak yang merasakan juga pada nganggur cuman mba juga ga bisa kan bilang orang Indonesia pada kerja semua ketika seseorang mengutarakan pendapat tidak semua juga dibilang nyinyir juga karena pada kenyataannya pemerintah kita sedang rusak coba tengok orang gelandangan semakin banyak atau sedikit sering turun ke jalan lihat orang yang dibawah kita;['alfinamahadewi11'];
