Username;Comment;Target;Label
ijal_kampung;Mana bagusnya kamu lah jok jok penting;['None'];
djoniarianto;Mana bisa si doi kayak gini;['None'];
helenaputri5;Mana cebong yg Teriak NKRI harga mati;['None'];
ubet91;Mana yang katanya anti asing tapi ke asing mlu haduu;['None'];
bayzdoank;Mancla mencle;['None'];
yusufthalib46;Mang pada idiot aj yg sampe meriksa tuh anak Kurung batang lu juga pake kalimat TAUHID saat mau dikubur APA IYA JENAZAH DIHENTIKAN DAN si jenazah DIPERIKSA Kalimat hidup dan mati menggunakan kata TAUHID;['None'];
annisharosseta;Mangjrak bisa didaur ulang atau buat rumah rumahan;['None'];
yusuf.hidayat.754570;Mangkanya sebelum nonton minum kopi editan nya jooss Yang gw heran suara sirine kompoy nya ngak ada lu tolol tolol aja hahaha jangan sampe goblok;['None'];
gelap2019;Mangkin berani aja mrk;['None'];
meylija;Mank enak klo ngga dpt legitimasi rakyat;['None'];
usep52;Manonjaya Tasikmalaya;['None'];
eka_dharmawan.ptk;Manstab;['None'];
orbit7oz2;Mantaaaaaaaaaaaaaaaaaaaaaaaaabbbbn;['None'];
taupikmuhammad70;Mantaaaaaaap saya mendukung bapa berdua;['None'];
dewina_baaman;Mantaaaaffff;['None'];
bahagiaemak;Mantaaaafffff;['None'];
iwan_priyadi_m_fadli;Mantaaaap;['None'];
setyaarumingtyas;Mantaaab selama th kedepan dia gak mgkn diakui rakyatnya kasiankan;['None'];
ahmadwowkerenabiz;Mantaaabbb;['None'];
murcloth;Mantaaabbb Harus di Like ini mah Semangat terus ka Semoga apa yg saya share bermanfaat;['None'];
hariesrezapahlevi;Mantaaabbb seharusnyaa inii niii presiden RI yg sangat cerdas dan Bnyak gagasan inspiratif gagasan nya sangat dibutihkn oleh negara lain;['None'];
fendy5369;Mantaaap;['None'];
bundalutpi;Mantaaap pa gubrnur terasa presiden;['None'];
_bokengslowlay;Mantaap;['None'];
lilies.soekarno12;Mantaapppp;['None'];
putrododi;Mantab;['None'];
setyawan4627;Mantab babe;['None'];
isya_aisy;Mantab babe N_Target Bikin mereka membungkam;['haikalhassan_quote'];
wahyu_ashari89;Mantab bahasa inggris nya sama kayak Si Jae;['None'];
donalalramadhan;Mantab bahasanya coba geh presiden suru ngomong begitu;['None'];
soe_njow;Mantab bank syariah adil dan makmur;['None'];
mochanoy;Mantab jelas kan bong;['None'];
puji.triyanti;Mantab kalilah itu;['None'];
okzakki02;Mantab keren tu untuk suport pak jokowi biar mundur;['None'];
spzunul;Mantab n se banget;['None'];
widarazzan;Mantab nih Mereka melihat sosok beliau begitu greget menjadi the next president;['None'];
putyukiaaqsari;Mantab pk Anis;['None'];
rifaputranirwana;Mantab saya suka gaya mu Gus;['None'];
heriiraw4;Mantabb Usirrrr;['None'];
