Username;Comment;Target;Label
nicola_pringga;Tembak palanya;['None'];
arizalkiky33;Temen gw bego dikatain tolol gk terima padahal bego dan tolol arti yg sama;['None'];
rrosita821;Tempat maksiat tp ada ijin bang;['None'];
adr14n46;Tempatnya di mana dia Jangan omong doang;['None'];
mr._vicky051089;Tenaga kerja import piye;['None'];
yana_aan_triana;Tenang Pertamini d tutup ntar kita buka pertamina d pelosok tentu saja dg bantuan investor dr sono noo;['None'];
arifaris_city;Tenang boz Tinggal panggil AVENGER kelar;['None'];
baimjoaquin;Tengil bener yee;['None'];
sayaahmad545;Terasa presiden banget Pak prabowo allah hu akbar;['None'];
nuurhasanh;Terbaik is the best and good job;['None'];
roedie_budiman;Terbukti Negara itu Milik Rakyat Dari Rakyat Untuk Rakyat Allohuakbar Semoga NKRI lebih baik ke depan nya Amin;['None'];
egg.flipped;Terbukti tapi DITOLAK SELURUHNYA;['None'];
nurjana_fia;Tergantung KPU;['None'];
iyus_dilah;Tergantung lawan nya kalau harus melawan pak jendral Gatot akan sangat dilema kalau lawan nya ahy pm rani gimana kira;['None'];
nsukriyawan;Tergantung partai pendukung kalo moncong ya pikir dlu dehh;['None'];
atirochayati;Terharu;['None'];
rao.la;Terharu ya;['None'];
indrayana_2095;Terhormat;['None'];
mukti.erwin;Terima kasih Pak Gubernur Indonesia sudah mengangkat kembali derajat Indonesia di mata dunia Setelah;['None'];
teguh_py2018;Terima kasih berkat kerjamu pak N_Target;['jokowihebat2019'];
sukandi.akhmad;Terimakasih surabaya;['None'];
aman_nitha;Terlalu memaksakan maka hasilnya akan tidak baik;['None'];
astinamauly_thalib;Terlihat dengan jelas lgi bingung mau bagi kursi dari hasil kecurangan dan keserakahan;['None'];
sind1putr1;Terlihat kurang bahan sehingga video masa masa kampanye di goreng dengan narasi seolah baru kemarin masyarakat menolak kehadiran Presiden Jokowi Bapak Prabowo dan Bapak Presiden sudah komitmen untuk bersama membangun bangsa cuman tidak semua pendukung Prabowo yang bisa menerima karena terdapat sebagian pendukung terlalu panatik terlalu berharap dan bermimpi namun kenyataan berbicara lain sehingga sakit hatinya ngak ketulungan yang mengakibatkan susah move on udah lah ayo move on semangat bersatu kita bangun bangsa;['None'];
ibnumadany;Ternyata legitimasi itu sulit diperoleh karena pemilik barang tidak mau;['None'];
oded_dnzr;Ternyata presidennya Manusia gk tau malu;['None'];
pengemis_kasih13;Ternyata si gus tukang nyinyir juga;['None'];
renimelani_80;Ternyata sudah setinganmu jok mau dijual dgn referendum pantes dpt suara Astagfirulloh;['None'];
yayandoank07;Terobosan pa edi sama pa anies emang benar nyata n bermanfaat buat rakyat Mantul;['None'];
paletzalwa;Terus berjuang pak;['None'];
millionarenewbie;Terus kok mo dua termin Ga malu ya;['None'];
edward_dian_syah;Terus tu orang ujung ujungnya diapain Disuruh beli materai lalu minta maaf sambil nangis setelah itu usai perkara;['None'];
thadiyati;Teruslah lah berbuat baik pak Anies dan alloh selalu melindungi dari pada manusia yang dholim;['None'];
reyka.hadi;Terutama santun dlm berbicara baik yg tua atau muda bukan pake urat leher;['None'];
aisyahelistanjung_91;Tetangga sebelah kepanasan lihat ini;['None'];
totongharianto;Tetao sehat pak smgat demi rakyat dn negri tercinta;['None'];
amardianto508;Tetap berjuang;['None'];
mifta_alvien;Tetap setuju pak prabowo presiden nya;['None'];
di2k_w;Tetaplah timbul tenggelam bersama rakyat Jendral q;['None'];
irkhamnofiyanto;Tetep dicurangi nanti;['None'];
al_jasum_muhibbin;Thamara masih bau kencur harap maklim ce Ana aja bingung neh maksudnya apa kalimat Tamara lulusan apa neh anak;['None'];
