Username;Comment;Target;Label
yantitryalivi;luar biasa mntap pk Anies;['None'];
imam_satria88;lucu nya negri ku sang raja nya masih menang di MK;['None'];
nurul_khoeriah;lucu sekali negri ini di MK d putusin ga ada kecurangan tapi knapa skrg ada yg d jatuhi hukuman gara ada pencoblosan masal berarti memang terbukti ada kecurangan dooooong;['None'];
dickyrafli.17;lucu ya;['None'];
susanayulli;lucuuuu;['None'];
rdvirgianty;ludahin aja orang begini trus injek lehernya najis liat nya aduh gregetan;['None'];
abrilian_lazzara;maaannntullll keren;['None'];
sumakmurmujio;maaasya Allah bapak N_Target panjang kan umur nya ya rabb;['aniesbaswedan'];
sagittarius1991124;maaf saya kira ahok tadi abisNya sama kata kataNya;['None'];
iwaff_;main obrak abrik Mereka bangun itu pake duit setengah mati nyarinya kalo lah gak py otak kan msh punya hati apa hati udh ikutan mati rasa naudzubilah;['None'];
ega_agustina_;maju;['None'];
widartish;maju hutangnya maju impornya;['None'];
papa.gaul21;makan dah tuh Lu kupyak dah kekayaan negara Kan tinggal itung an di akherat;['None'];
ivan.bcell;makar makar makaar;['None'];
kesumayusuf;maksudnya di sesuaikan dengan hutang negara x min;['None'];
godila_goqil;maling malingg;['None'];
bimprasetyoo;malu ga tuh ngga di akui rakyat nya wkwkkw N_Target N_Target N_Target;['renggaahmadf', 'bahariatsald', 'mhmdarisantosa'];
iammsaputra;malu itu anaknya begini kelakuan bapaknya wkwk;['None'];
rahmatsetiawan0;mana nih komnas ham prempuan yg katanya klo prmpuan dipaksa hbngan intim sma suami itu pelecehan masa yg model bgini bukan pelecehan ayoo dong tanggapi permasalah itu slesaikan;['None'];
failedprotocolofzion;mang berani dia;['None'];
daniati_nunung;mantaaaaaaaapsukaaa;['None'];
dm1888094;mantaaaaaap abiiiis;['None'];
alex.bima.944;mantaaaappp;['None'];
sariningsihtaiwan;mantaaap gus nur saya sk mmg ma dia krn berani tp benar;['None'];
khodijahlubis_110;mantab bro;['None'];
emma_3ma;mantab lanjutkan;['None'];
darmawan.setyabudi.54;mantap;['None'];
k51_kalimosodo;mantap Babehquuu;['None'];
wien_bella;mantap babe;['None'];
asy_syakur_;mantap beh haikal;['None'];
atohartadi;mantap jendral;['None'];
ajiiieeeee;mantap lanjutkan pak pres moga makin langgeung dengan utang nya;['None'];
ajiiieeeee;mantap makin jaya selalu utang hahaha;['None'];
okiky29;mantap pak;['None'];
lkpberkahjayapusat;mantap pak anies;['None'];
rafiqlegen;mantap sul sel;['None'];
mauzulbahri;mantap ustad;['None'];
kemod2822;mantapp;['None'];
nuraida.glx889;mantappp;['None'];
rintokey;mantepp;['None'];
ahmadamud;mantpp;['None'];
rikoseptianton;mantul;['None'];
twa_28;mantul Patut di tiru;['None'];
tata_cutex;mantulll Sakitnya tu disini ngak di anggap;['None'];
sartikashi;mantullll;['None'];
muhammad_indra_gunawan74;mantulllll;['None'];
faridaboesra;mantuulll bisa dicoba di daerah lain ini;['None'];
ald.kyoto;manusia munafik ini lihat mukanya;['None'];
ddnsprmn.id;marasai bana pak woooo;['None'];
adellova_smarthafiz.id;marukkkll maruuuuk;['None'];
mmhazzam1;masih ada harapan;['None'];
iiswawan95;masyaAllah;['None'];
santoso59f;masyaAllah pak anes;['None'];
ranarania1213;masyaAllah tabarakAllah;['None'];
ratnaema388;masyaa Allah kagum banget pinter bangek nexpresiden;['None'];
harianto8379;masyaallah;['None'];
dyusyus;masyallah;['None'];
nyai_mima;mati mengerikan membusuk;['None'];
ihtisaaban;mau apa tuh si trump;['None'];
fah_sya;mau di blok toh;['None'];
dedikusumawijaya;mbah mfud dilema nich;['None'];
rahmaronald;memang ga ada kecurangan mau di buktikan apo sakit;['None'];
obingmujiburohman;menag harus segera investigasi tuh;['None'];
innez.farida;menantang azab nauzubillah;['None'];
laesayuniastuti6;mencla mencle;['None'];
ismawan_06;mending pan anies fokus dulu priode di jkt dan bang sandi fokus dulu mbangun rumah siap kerjanya biar semua orang tau prestasi bakal calon presiden RI nantinya;['None'];
yesi_jet_x;mendukung banget no riba;['None'];
arfan_mboys;menurut kau gmn ini N_Target N_Target N_Target NKRI harga mati;['_yusufmuhammad_', 'faizal', 'islah_bahrawi'];
failedprotocolofzion;merdeka dah menang curang;['None'];
sukrizal.sukrizal.79;mereka ingin diusir kayaknya cina lagi cina lagi gram udah liatnya;['None'];
kholiqjohan;meskipun agak kasar tpi emang bgt kenyataane yg terjadi;['None'];
_pratiwo;miiin min;['None'];
rinoalfantris;mirip kakak pertama;['None'];
innez.farida;mmhhh banyak sandiwara gak takut azab yaa;['None'];
dekur84;mn banser dan pol;['None'];
guruhsuharyatno;mo bae aje suseh;['None'];
benkaja71;mo maen akalan ha ha ha buaya mo dikadalin dicaplok;['None'];
rahmanhbb;modusss cebong PKI MAFIA;['None'];
sonya_dza;mohon disiarkan langsung pak;['None'];
fanfan8103;mr bean tertolak kaciiiaaan;['None'];
bagaskara212.313;mudah mudahan jokowi ahok kena ya allah Aamiin;['None'];
dadangnurjaelani;muka suram dan culas;['None'];
bayu_alehandro16;mukanya kaya anjingnya si monyet;['None'];
slv_esa23;mulai muncul satu persatu apa yg d khawatirkan pa Prabowo;['None'];
harwanto.harwanto.37266136;mulessss;['None'];
wahyumurwanto;mulut jamban;['None'];
failedprotocolofzion;munafik akut;['None'];
rossiegr22;munafikun;['None'];
oktafiatna;mungkin dia dilahirin dari emak nya yg di entot anjing jadi dia biasa aja ngomong nya;['None'];
vhadhankpratamaa;mungkin dia ngeliat anjing lagi ngentodddd;['None'];
noz6294;mungkin emang diajarin emak bapaknya gitu dari kecil positif thinking aja lah;['None'];
